issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,700.0,700.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus points on utility bills,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_169,AXI_Axis_Bank_169,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus points on utility bills,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_170,AXI_Axis_Bank_170,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_171,AXI_Axis_Bank_171,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,700.0,700.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_172,AXI_Axis_Bank_172,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,700.0,700.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Enhanced cashback weekends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_173,AXI_Axis_Bank_173,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus points on utility bills,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_174,AXI_Axis_Bank_174,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,400.0,400.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_175,AXI_Axis_Bank_175,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,400.0,400.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_176,AXI_Axis_Bank_176,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,400.0,400.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_177,AXI_Axis_Bank_177,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,700.0,700.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_178,AXI_Axis_Bank_178,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,400.0,400.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_179,AXI_Axis_Bank_179,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_180,AXI_Axis_Bank_180,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_181,AXI_Axis_Bank_181,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Enhanced cashback weekends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_182,AXI_Axis_Bank_182,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,700.0,700.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_183,AXI_Axis_Bank_183,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Enhanced cashback weekends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_184,AXI_Axis_Bank_184,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Extra miles on travel portals,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_185,AXI_Axis_Bank_185,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Extra miles on travel portals,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_186,AXI_Axis_Bank_186,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_187,AXI_Axis_Bank_187,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_188,AXI_Axis_Bank_188,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,400.0,400.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Extra miles on travel portals,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_189,AXI_Axis_Bank_189,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,400.0,400.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_190,AXI_Axis_Bank_190,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Enhanced cashback weekends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_191,AXI_Axis_Bank_191,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_192,AXI_Axis_Bank_192,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus points on utility bills,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_193,AXI_Axis_Bank_193,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_194,AXI_Axis_Bank_194,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Enhanced cashback weekends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_195,AXI_Axis_Bank_195,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_196,AXI_Axis_Bank_196,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,700.0,700.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_197,AXI_Axis_Bank_197,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_198,AXI_Axis_Bank_198,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,500.0,500.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Bonus on grocery spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_199,AXI_Axis_Bank_199,True
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,600.0,600.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends | Extra miles on travel portals,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,VAR_200,AXI_Axis_Bank_200,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_001,HDF_HDFC_Money_001,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_002,HDF_HDFC_Money_002,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_003,HDF_HDFC_Money_003,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_004,HDF_HDFC_Money_004,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_005,HDF_HDFC_Money_005,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_006,HDF_HDFC_Money_006,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_007,HDF_HDFC_Money_007,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_008,HDF_HDFC_Money_008,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_009,HDF_HDFC_Money_009,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_010,HDF_HDFC_Money_010,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_011,HDF_HDFC_Money_011,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_012,HDF_HDFC_Money_012,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_013,HDF_HDFC_Money_013,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_014,HDF_HDFC_Money_014,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_015,HDF_HDFC_Money_015,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_016,HDF_HDFC_Money_016,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_017,HDF_HDFC_Money_017,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_018,HDF_HDFC_Money_018,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_019,HDF_HDFC_Money_019,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_020,HDF_HDFC_Money_020,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_021,HDF_HDFC_Money_021,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_022,HDF_HDFC_Money_022,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_023,HDF_HDFC_Money_023,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_024,HDF_HDFC_Money_024,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_025,HDF_HDFC_Money_025,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_026,HDF_HDFC_Money_026,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_027,HDF_HDFC_Money_027,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_028,HDF_HDFC_Money_028,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_029,HDF_HDFC_Money_029,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_030,HDF_HDFC_Money_030,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_031,HDF_HDFC_Money_031,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_032,HDF_HDFC_Money_032,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_033,HDF_HDFC_Money_033,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_034,HDF_HDFC_Money_034,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_035,HDF_HDFC_Money_035,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_036,HDF_HDFC_Money_036,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_037,HDF_HDFC_Money_037,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_038,HDF_HDFC_Money_038,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_039,HDF_HDFC_Money_039,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_040,HDF_HDFC_Money_040,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_041,HDF_HDFC_Money_041,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_042,HDF_HDFC_Money_042,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_043,HDF_HDFC_Money_043,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_044,HDF_HDFC_Money_044,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_045,HDF_HDFC_Money_045,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_046,HDF_HDFC_Money_046,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_047,HDF_HDFC_Money_047,True
